Tue May 19 19:40:51 2026    profile

         3485717 function calls (3017295 primitive calls) in 111.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:2530(load_state_dict)
     95/1    0.000    0.000    0.009    0.009 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:2584(load)
    93044    0.009    0.000    0.009    0.000 {method 'add' of 'set' objects}
    94065    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
    15752    0.008    0.000    0.008    0.000 {method 'size' of 'torch._C.TensorBase' objects}
       95    0.001    0.000    0.008    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:2345(_load_from_state_dict)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3/dist-packages/lark/lark.py:1(<module>)
     1967    0.007    0.000    0.008    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/context.py:82(ok)
     2955    0.008    0.000    0.008    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/qos_event.py:112(add_to_wait_set)
     4062    0.002    0.000    0.007    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
    12805    0.005    0.000    0.007    0.000 /usr/lib/python3.10/contextlib.py:514(_push_exit_callback)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3/dist-packages/lark/load_grammar.py:1(<module>)
       10    0.007    0.001    0.007    0.001 {built-in method builtins.compile}
        5    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:942(source_to_code)
      118    0.006    0.000    0.006    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
      981    0.004    0.000    0.006    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:40(__init__)
     1250    0.005    0.000    0.006    0.000 /home/will/.local/lib/python3.10/site-packages/torch/autograd/grad_mode.py:75(__init__)
     2943    0.003    0.000    0.005    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/std_msgs/msg/_header.py:129(stamp)
    26487    0.005    0.000    0.005    0.000 {built-in method torch._C._has_torch_function_unary}
  179/178    0.001    0.000    0.005    0.000 {built-in method builtins.__build_class__}
     2500    0.005    0.000    0.005    0.000 {built-in method torch._C._set_grad_enabled}
     4062    0.005    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
      981    0.002    0.000    0.005    0.000 /usr/lib/python3.10/threading.py:389(notify_all)
     2943    0.002    0.000    0.004    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/functional.py:4744(<genexpr>)
    17686    0.004    0.000    0.004    0.000 {built-in method torch._C._has_torch_function_variadic}
    12805    0.004    0.000    0.004    0.000 /usr/lib/python3.10/contextlib.py:442(_create_exit_wrapper)
